scn,pol,ind,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
dx,pa,mtm,229,217.1924548,206.1378106,195.8218534,186.2207023,177.3036215,169.0353649,161.378069,154.2927334,147.7403433,141.6826927,136.0829616,130.9061005,126.1190632,121.6909265,117.5929249,113.7984256,110.2828606,107.0236321,104
dx,pa,water,82.2,82.23562826,82.49281965,82.93131566,83.38118384,83.82183665,84.28345279,84.69402748,85.09259614,85.4724958,85.84861876,86.22149238,86.58590677,86.92265293,87.24941031,87.60396613,87.95607044,88.30828426,88.64715854,88.98711495
dx,pa,sanit,59.80000017,60.23130538,60.66878925,61.11243474,61.56221721,62.01810383,62.48005315,62.94801468,63.42192849,63.90172475,64.38732336,64.87863353,65.37555336,65.87796946,66.38575659,66.89877726,67.41688144,67.93990624,68.46767559,69
dxdt,pa,gdp,7273.699038,7557.468733,7993.05066,8331.55718,8669.979126,9073.858554,9502.254077,10015.26476,10622.32028,11363.26978,12105.67902,12869.13548,13747.93474,14937.80668,16238.28019,17107.81798,18165.36007,19373.8415,20766.02494,22114.32074
dxdt,pa,pov,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,19.17717795,17.62093914,16.19099,14.55433731,13.08312428,11.7606276,10.57181438,9.503171362,8.542551226,7.679034574,6.902805781,6.205041427,5.57781
dxdt,pa,gini,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.45761761,0.450399884,0.443296,0.438297555,0.43335547,0.42846911,0.423637847,0.41886106,0.414138134,0.409468463,0.404851444,0.400286486,0.395773
dxdt,pa,edc,28.01218919,29.168031,30.40007753,31.71193193,33.10695,34.58812636,36.15796953,37.81836324,39.57041636,41.41430488,43.34911123,45.3726672,47.48140871,49.6702516,51.93249852,54.25978731,56.64209085,59.06777668,61.52373257,63.99556075
dxdt,pa,u5m,62.99999999,61.45904183,59.71609185,57.86019627,56.14848895,54.46207702,52.83161177,51.40043394,50.06188286,48.81477763,47.63964427,46.53238804,45.49339897,44.5280134,43.62186754,42.74738094,41.92245703,41.1428919,40.41147963,39.71806131
dxdt,pa,mtm,229,217.1924548,206.1378106,195.8218534,186.2207023,177.3036215,169.0353649,161.378069,154.2927334,147.7403433,141.6826927,136.0829616,130.9061005,126.1190632,121.6909265,117.5929249,113.7984256,110.2828606,107.0236321,104
dxdt,pa,water,82.2,82.26448342,82.54075361,82.98744428,83.39880094,83.87940998,84.40622071,84.82197359,85.22479166,85.60804068,85.98839583,86.3655222,86.73264576,87.07406064,87.40379692,87.76281302,88.11776826,88.47072362,88.8103822,89.15113675
